ZONE_GEO;IVG_HOSP_INS;IVG_HOSP_MED;IVG_HOSP_INC;IVG_CAB;IVG_CEN;TOT_IVG;TAUX_rec;annee
Normandie;2519;4386;88;1114;77;8184;11,74257588;2016
Nouvelle-Aquitaine;5904;7076;16;2261;543;15800;13,05395663;2016
Occitanie;6245;9983;90;3062;199;19579;16,00016344;2016
Pays de la Loire;3686;4112;9;256;12;8075;10,22294244;2016
Provence - Alpes - Côte d'Azur;6910;8557;196;5385;375;21423;20,29769575;2016
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
